eventID;Agency;catalog;year;month;day;hour;minute;second;latitude;longitude;Depth;magnitude;magType;catalog
;CERES995;SARA;1707;9;18;13;0;0;-13.9;-72.099;10;4.95;Mw;sara
;CERES995;SARA;1709;12;20;10;0;0;-12.3;-77.299;60;6.39;Mw;sara
;CERES995;SARA;1709;12;23;15;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1715;8;23;;;;-17.3;-70.8;80;7.5;Mw;sara
;CERES995;SARA;1716;2;6;0;0;0;-17.199;-71.2;40;7.09;Mw;sara
;CERES995;SARA;1716;2;11;1;15;0;-13.699;-76.299;;6.23;Mw;sara
;CERES995;SARA;1716;2;11;1;;;-13.7;-76.05;50;7.37;Mw;sara
;CERES995;SARA;1718;8;3;11;0;0;-13.55;-71.519;;6.23;Mw;sara
;CERES995;SARA;1719;6;17;0;0;0;-13.199;-74.4;20;4.94;Mw;sara
;CERES995;SARA;1720;4;22;3;0;0;-13.55;-71.519;;6.23;Mw;sara
;CERES995;SARA;1720;11;23;0;0;0;-13;-38.5;;2.14;Mw;sara
;CERES995;SARA;1724;1;14;10;30;0;-13;-38.5;;1.78;Mw;sara
;CERES995;SARA;1724;3;24;0;0;0;-33.399;-70.599;;6.8;Mw;sara
;CERES995;SARA;1725;1;7;4;15;;-9.2;-79.3;60;7.5;Mw;sara
;CERES995;SARA;1725;1;8;13;0;0;-16.399;-71.599;80;6.52;Mw;sara
;CERES995;SARA;1725;2;0;0;0;0;-0.8;-78.9;;4.95;Mw;sara
;CERES995;SARA;1725;3;27;0;0;0;-16.699;-73;50;6.23;Mw;sara
;CERES995;SARA;1728;10;0;0;0;0;-0.5;-78.2;;5.42;Mw;sara
;CERES995;SARA;1730;7;8;10;;;-33.05;-71.63;;8.74;Mw;sara
;CERES995;SARA;1732;12;2;6;;;-11.8;-77.6;50;6.91;Mw;sara
;CERES995;SARA;1734;5;28;0;0;0;-12;-77;;6.23;Mw;sara
;GOMAL015;SARA;1736;2;2;14;;;2.5;-76.5;;6.16;Mw;sara
;BEAAL013;SARA;1736;12;6;;;;-0.75;-78.75;;5.95;Mw;sara
;CERES995;SARA;1737;12;24;;;;-39.8;-73.2;;7.51;Mw;sara
;CERES995;SARA;1737;;;;;;10.05;-69.299;;5.53;Mw;sara
;CERES995;SARA;1739;3;24;0;0;0;-14.1;-73.2;;6.52;Mw;sara
;CERES995;SARA;1739;4;10;0;0;0;-1.9;-78.299;;4.95;Mw;sara
;CERES995;SARA;1740;8;27;14;0;0;-0.22;-78.5;;4.95;Mw;sara
;CERES995;SARA;1741;4;27;9;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1741;4;29;9;0;0;-13.65;-73.45;;6.23;Mw;sara
;CERES995;SARA;1742;3;25;2;0;0;-13.6;-72;;6.23;Mw;sara
;CERES995;SARA;1742;5;9;14;45;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1742;5;27;22;35;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1742;6;15;0;0;0;-0.7;-78.4;;4.95;Mw;sara
;CERES995;SARA;1742;12;9;18;0;0;-0.7;-78.4;;4.95;Mw;sara
;CERES995;SARA;1743;5;9;18;15;0;-13.5;-72;;6.23;Mw;sara
;GOMAL015;SARA;1743;10;18;15;45;;4.57;-73.647;;6.52;Mw;sara
;CERES995;SARA;1743;10;18;;;;4.5;-73.799;;5.09;Mw;sara
;CERES995;SARA;1744;9;24;12;0;0;-15.3;-58;;3.23;Mw;sara
;CERES995;SARA;1744;11;14;11;30;0;-13.5;-72;10;6.52;Mw;sara
;CERES995;SARA;1744;11;19;11;30;0;-13.77;-72.099;20;5.29;Mw;sara
;CERES995;SARA;1744;;;;;;-1.5;-78.599;;5.89;Mw;sara
